#{"t_start": 1607916952.280616, "env_id": null}
r,l,t
-13.789143,500,0.702313
-12.781814,500,132.898219
13.427789,500,397.423447
2.456414,500,661.510192
15.801934,500,895.305279
18.21289,500,1156.386131
10.53727,500,1430.435019
16.274319,500,1679.88379
16.538936,500,1909.049371
15.63941,500,2123.876816
