#{"t_start": 1607877400.805381, "env_id": null}
r,l,t
1.386919,500,0.532145
14.027952,500,79.130233
15.543271,500,239.632291
17.009717,500,399.281218
17.576968,500,561.99357
19.103174,500,725.067442
10.446221,500,893.966068
-16.42543,500,1074.605062
-15.405915,500,1265.086297
-29.747619,500,1448.287199
