#{"t_start": 1607730996.384522, "env_id": null}
r,l,t
-18.055416,500,0.550376
9.561278,500,96.506716
17.257191,500,291.492743
9.21226,500,491.818193
19.050452,500,699.39073
20.043015,500,898.071032
20.4035,500,1094.596208
18.232594,500,1292.50963
19.38765,500,1490.580785
9.307511,500,1692.341111
